time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-17 00:00:00+00:00,14,4,0,0
2026-06-18 00:00:00+00:00,22,7,0,0
2026-06-19 00:00:00+00:00,20,5,0,0
2026-06-20 00:00:00+00:00,46,11,0,0
2026-06-21 00:00:00+00:00,42,11,0,0
2026-06-22 00:00:00+00:00,31,8,0,0
2026-06-23 00:00:00+00:00,38,9,0,0
2026-06-24 00:00:00+00:00,37,10,3,1
2026-06-25 00:00:00+00:00,39,15,5,2
2026-06-26 00:00:00+00:00,20,7,3,2
2026-06-27 00:00:00+00:00,13,7,1,1
2026-06-28 00:00:00+00:00,10,5,0,0
2026-06-29 00:00:00+00:00,11,6,0,0
2026-06-30 00:00:00+00:00,3,3,3,2
